-4,-4,1
-4,4,1
-4,-3.9298,0.99999
-4,-3.8596,1.0001
-4,-3.7895,1
-4,-3.7193,1
-4,-3.6491,0.99999
-4,-3.5789,0.99997
-4,-3.5088,0.99995
-4,-3.4386,1
-4,-3.3684,1
-4,-3.2982,1
-4,-3.2281,1
-4,-3.1579,0.99996
-4,-3.0877,1
-4,-3.0175,0.99996
-4,-2.9474,1
-4,-2.8772,1
-4,-2.807,1
-4,-2.7368,0.99994
-4,-2.6667,0.99994
-4,-2.5965,0.99995
-4,-2.5263,0.99999
-4,-2.4561,0.99998
-4,-2.386,0.99999
-4,-2.3158,0.99999
-4,-2.2456,0.99999
-4,-2.1754,0.99998
-4,-2.1053,0.99998
-4,-2.0351,0.99999
-4,-1.9649,0.99998
-4,-1.8947,0.99999
-4,-1.8246,0.99999
-4,-1.7544,0.99999
-4,-1.6842,0.99999
-4,-1.614,0.99999
-4,-1.5439,1
-4,-1.4737,0.99999
-4,-1.4035,1
-4,-1.3333,1
-4,-1.2632,1
-4,-1.193,1
-4,-1.1228,1
-4,-1.0526,1
-4,-0.98246,1
-4,-0.91228,1
-4,-0.84211,1
-4,-0.77193,1
-4,-0.70175,1
-4,-0.63158,1
-4,-0.5614,1
-4,-0.49123,1
-4,-0.42105,1
-4,-0.35088,1
-4,-0.2807,1
-4,-0.21053,1
-4,-0.14035,1
-4,-0.070175,1
-4,-1.2434e-14,1
-4,0.070175,1
-4,0.14035,1
-4,0.21053,1
-4,0.2807,1
-4,0.35088,1
-4,0.42105,1
-4,0.49123,1
-4,0.5614,1
-4,0.63158,1
-4,0.70175,1
-4,0.77193,1
-4,0.84211,1
-4,0.91228,1
-4,0.98246,1
-4,1.0526,1
-4,1.1228,1
-4,1.193,1
-4,1.2632,1
-4,1.3333,1
-4,1.4035,1
-4,1.4737,0.99999
-4,1.5439,1
-4,1.614,0.99999
-4,1.6842,0.99999
-4,1.7544,0.99999
-4,1.8246,0.99999
-4,1.8947,0.99999
-4,1.9649,0.99998
-4,2.0351,0.99999
-4,2.1053,0.99998
-4,2.1754,0.99998
-4,2.2456,0.99998
-4,2.3158,0.99999
-4,2.386,0.99999
-4,2.4561,0.99998
