#Hole with N=4
#Group_ID Point_ID X_cord Y_cord Z_cord
1 1 0.85119 7.34482e-018 0
1 2 0.851007 0.0432001 0
1 3 0.85047 0.0864175 0
1 4 0.849623 0.129662 0
1 5 0.848535 0.172928 0
1 6 0.847294 0.216189 0
1 7 0.846007 0.25939 0
1 8 0.844785 0.302446 0
1 9 0.843742 0.34524 0
1 10 0.842983 0.387621 0
1 11 0.842596 0.429406 0
1 12 0.842646 0.470386 0
1 13 0.843165 0.510326 0
1 14 0.84415 0.548979 0
1 15 0.845557 0.586089 0
1 16 0.847297 0.621399 0
1 17 0.849238 0.654665 0
1 18 0.851208 0.685663 0
1 19 0.852993 0.714197 0
1 20 0.854348 0.740107 0
1 21 0.855002 0.763278 0
1 22 0.854666 0.783644 0
1 23 0.853044 0.801191 0
1 24 0.849841 0.81596 0
1 25 0.844774 0.828043 0
1 26 0.837585 0.837585 0
1 27 0.828043 0.844774 0
1 28 0.81596 0.849841 0
1 29 0.801191 0.853044 0
1 30 0.783644 0.854666 0
1 31 0.763278 0.855002 0
1 32 0.740107 0.854348 0
1 33 0.714197 0.852993 0
1 34 0.685663 0.851208 0
1 35 0.654665 0.849238 0
1 36 0.621399 0.847297 0
1 37 0.586089 0.845557 0
1 38 0.548979 0.84415 0
1 39 0.510326 0.843165 0
1 40 0.470386 0.842646 0
1 41 0.429406 0.842596 0
1 42 0.387621 0.842983 0
1 43 0.34524 0.843742 0
1 44 0.302446 0.844785 0
1 45 0.25939 0.846007 0
1 46 0.216189 0.847294 0
1 47 0.172928 0.848535 0
1 48 0.129662 0.849623 0
1 49 0.0864175 0.85047 0
1 50 0.0432001 0.851007 0
1 51 8.03191e-017 0.85119 0
1 52 -0.0432001 0.851007 0
1 53 -0.0864175 0.85047 0
1 54 -0.129662 0.849623 0
1 55 -0.172928 0.848535 0
1 56 -0.216189 0.847294 0
1 57 -0.25939 0.846007 0
1 58 -0.302446 0.844785 0
1 59 -0.34524 0.843742 0
1 60 -0.387621 0.842983 0
1 61 -0.429406 0.842596 0
1 62 -0.470386 0.842646 0
1 63 -0.510326 0.843165 0
1 64 -0.548979 0.84415 0
1 65 -0.586089 0.845557 0
1 66 -0.621399 0.847297 0
1 67 -0.654665 0.849238 0
1 68 -0.685663 0.851208 0
1 69 -0.714197 0.852993 0
1 70 -0.740107 0.854348 0
1 71 -0.763278 0.855002 0
1 72 -0.783644 0.854666 0
1 73 -0.801191 0.853044 0
1 74 -0.81596 0.849841 0
1 75 -0.828043 0.844774 0
1 76 -0.837585 0.837585 0
1 77 -0.844774 0.828043 0
1 78 -0.849841 0.81596 0
1 79 -0.853044 0.801191 0
1 80 -0.854666 0.783644 0
1 81 -0.855002 0.763278 0
1 82 -0.854348 0.740107 0
1 83 -0.852993 0.714197 0
1 84 -0.851208 0.685663 0
1 85 -0.849238 0.654665 0
1 86 -0.847297 0.621399 0
1 87 -0.845557 0.586089 0
1 88 -0.84415 0.548979 0
1 89 -0.843165 0.510326 0
1 90 -0.842646 0.470386 0
1 91 -0.842596 0.429406 0
1 92 -0.842983 0.387621 0
1 93 -0.843742 0.34524 0
1 94 -0.844785 0.302446 0
1 95 -0.846007 0.25939 0
1 96 -0.847294 0.216189 0
1 97 -0.848535 0.172928 0
1 98 -0.849623 0.129662 0
1 99 -0.85047 0.0864175 0
1 100 -0.851007 0.0432001 0
1 101 -0.85119 1.69718e-016 0
1 102 -0.851007 -0.0432001 0
1 103 -0.85047 -0.0864175 0
1 104 -0.849623 -0.129662 0
1 105 -0.848535 -0.172928 0
1 106 -0.847294 -0.216189 0
1 107 -0.846007 -0.25939 0
1 108 -0.844785 -0.302446 0
1 109 -0.843742 -0.34524 0
1 110 -0.842983 -0.387621 0
1 111 -0.842596 -0.429406 0
1 112 -0.842646 -0.470386 0
1 113 -0.843165 -0.510326 0
1 114 -0.84415 -0.548979 0
1 115 -0.845557 -0.586089 0
1 116 -0.847297 -0.621399 0
1 117 -0.849238 -0.654665 0
1 118 -0.851208 -0.685663 0
1 119 -0.852993 -0.714197 0
